Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-	Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.	Manti Te'o was talkin' on the phone or computer with some fella pretendin' to be a gal.
90 percent of black women that work downtown over 5'9 lock eyes with meas I walk past...no BS	Most downtown tall black women look at me. That is a fact.	Most them tall, dark mamas downtown keep lookin' at me. That's just the truth.
If Pop plan to "expose" LBJ jump shot worked mogs woulda called hima genius...let the heat cook.	I pop plan to expose LBJ's jump shot, he worked because he would have called him a genius. Let the heat cook.	I was fixin' to reveal LBJ's basketball shootin', 'cause he'd 'a called him a genius if he'd known. Let it simmer.
*sets summer schedule* When KP playoff games? Hyde Park Alumni Picnic? House Picnic? Taste?Crunch Brunch Picnic? Bruhz Picnics?	*Sets summer schedule* When are the KP playoff games? Hyde Park Alumni Picnic? House Picnic? Taste?Crunch Brunch Picnic? Brothers Picnics	*Makin' summa plans* What's the date for them KP ball games? Hyde Park Alumni Picnic? House Picnic? Taste?Crunch Brunch Picnic? Brothers Picnics.
oooh talk to Eb bout dat...she use to say she "wouldn't be 1 of dem women that flash herring" NOW ask her. HA	Ooh, talk to Eb about that... She used to say that she \"wouldn't be one of those women that flashes herring.\" Now ask her. It's funny	Ooh, you better go talk to Eb 'bout that... She'd always say she wasn't gonna be one of them women flashin' their herrin'. You best ask her. It's purty funny.
Aye imma be late to the HP picnic...prob around 5. But I still wanna ridein like purple rain lbs	All right, I'm going to be late to the HP picnic... I'll probably be there around 5pm. But I still want to ridein like purple rain lbs	All right, I'm gon' be late to the HP picnic... I'll prob'ly be there around 5pm. But I still wanna roll in like I'm Purple Rain, lbs and all.
hey as long as doing what u want yields u the results uwant. U doing right chiefette	Being you is important on how you judge success. You are doing the right thing by following your own path.	Bein' yoself is important when decidin' what success means. You're doin' the right thing by walkin' your own path.
I rather take a "fake" married person advice than a single person about RS, at least alevel of compromise is shown	I rather take a fake married person's advice than a single person about real shit. At least alevel of compromise is shown.	I'd rather listen to some bogus married fella's advice 'bout real stuff than hear it from some singleton. At least they's showin' a level of compromise.
a man that invest extensive time before getting what he want is calleda "gentleman" in women slang.	A man that invests extensive time before getting what he wants is calleda \"gentleman\" in women's slang	A fella that puts in a lot of effort before gettin' what he wants, is called a "gentleman”" in the way some gals talk.
showing how easy it is to admit the failure can be ones own fault....I accept it and will strive todo better. Crazy world right?	Showing how easy it is to admit the failure can be one's own fault. I accept it, and will strive todo better. Crazy world, right	It ain't hard to confess when you're the one caused the mess-up. I'm ownin' up to it, and aim to do better next time. Crazy ol' world, huh?
And I refuse to believe I neva saw a chick breast feedand was only 1 staring!	And I refuse to believe I never saw a woman breast feedand was the only one gawking	And I won't believe I never seen no woman nursin' her baby and was the only one starin'.
I wish would have a groove so I can randomly rollthru..talk my shit and leave.	I would loe to have a routine so I can get into a processjust walk through my platform and leave.	I'd just love to have me a routine set up, so I can get myself goin', you know? Just stroll through my platform and be on my way.
I'm Pretty, But I Am Not Beautiful. I Sin, But I Am Not The Devil. I'm Good, But I AmNot An Angel. -Marilyn Monroe.	I'm pretty, but I am not beautiful. I sin, but I am not the devil. I'm good, but I amnot an angel. -Marilyn Monro	I'm purty, but I ain't be-yoo-tiful. I sin, but I ain't the de-vil. I'm good, but I ain't no ang-el. -Marilyn Monroe
Thank you everyone for the Father's Day wishes. Sending blessings toall the fathers out there."	Thank you, everyone, for the Father's Day wishes. I am sending blessings toall of the fathers out there.	Thank y'all mightily for the Father's Day greetins'. I'm sendin' blessings to all them daddies out yonder.
Can't believe we get new consoles, New GTA, new BF, new Splinter Cell,Watch Dogs, AC4, Dead Rising 3,ArkhamOrigins b4 the years over.#2013	Got new game system and games. We were able to accomplish this before the year.	Got us a new game system and games. We managed to get that done before the year was over.
Word! At least she working. she's gonna have to work mad hours justto see any paper lol"	Well said! At least she's working. She's gonna have to work a lot of hours justto see any serious money. I'm laughing	Well, she done spoke right there! At least she's got a job goin'. She's gonna hafta put in a whole lotta hours just to catch a glimpse of some real money. I'm just laughin' now.
Bitches ain't shit! Females want a loyal dude but can't evenbe loyal to their friends"	Women aren't worth anything! Females want a loyal man but can't evenbe loyal to their friends	Women ain't worth nothin'! Gal's want a faithful fella, but they can't even stay loyal to their pals.
oh no!!! I didn't even know she was there. There was noparking. Smh. I feel bad!	Oh no, I didn't even know that she was there. There wasn't anyparking, now I feel bad	Oh dear, I hadn't realized she was around here. There weren't no parking spaces, now I feel all sorry.
S/O to all my male friends and cousins who never sugar coated shit,always kept it so real!	Shout-out to all of my male friends and cousins who have never sugar-coated shit. They always kept it so real	Shout-out to all my boys, them male friends and cousins, who never put a sweet coating on nothing. They always kept it real as real can be.
And tbh I hate Yale lol I just like a fewpeople on my daddy side	And, to be honest, I hate Yale. Laugh out loud. I just like a fewpeople on my dad's side.	Now, let me tell ya, I don't care for Yale none. Hee-haw. I reckon I only take a likin' to a few folks on my daddy's side.
A all doing school I wanned to fight Sam and mon but I tryed an wat happen my eyewas blue for two weeks	All during school, I wanted to fight Sam and, man, I tried and what happened? My eyewas black and blue for two weeks	Throughout my time in school, I real bad wanted to tussle with Sam. And let me tell ya, I sure did try! But y'know what? My peepers were a mess of black and blue for two solid weeks.
Me & your momma will make a salad and play in itlike it's a pool lol..!!!!????????	Tossing a salad? Swimming in each other.	Tossin' that salad, huh? Lookin' like they swimmin' in each other.
Can I just get a blow job fr the crack ofmy hairy ass kmsl Jp	Can I just get a blow job? For real, the crack of my hairy ass, killing myself laughing, just playing	Can I jus' get me a blow job? I mean, the split in my hairy ass, me near about killin' myself laughin', jus' playin'.
-Chillin In The Dark Like A Real Nigga.!"naw that's some penitentiary shit gettinraped real nigga shit lmfao	Sitting in the dark like a real man. Now that's some jail type talkand like real talk.	Settin' in the dark just actin' like a true man. That there's some real hard-time talk.
If a bitch go to food stamp building and the security guard signsher in.. She's a whore	If a bitch goes to the food stamp building, and the security guard signsher in... She's a whore	If a woman goes to the buildin' where they give out food stamps, and the security man lets her in... She's workin' as a prostitute.
Light skin niggas upset everywhere about this new Instagram shyt"them niggasglad in the low lmao	Light-skinned black people everywhere are upset about this new Instagram shit. Those black peopleare happy with the secret, and I'm laughing my ass off	Folks with fair complexion among black folks is all riled up 'bout this fresh new thing on Instagram. Some black folks is content with the hidden matter, and I'm just rollin' in the laughs.
I thought I was thirsty toward these bitches... But these bitches bethirsty for these players smfh	I thought I wanted these women but they want all the men. It's unbelievable.	I reckon I thought I wanted them gals, but they're after all the fellas. It's hard to believe.
That nigga don't do shxt for you, but when he downtalkin a bitch you satisfied.	That man doesn’t do anything for you, but when he talks down to a woman, you’re satisfied	That fella don't do nothin' for ya, but when he speaks down to a woman, it makes ya happy.
I've meet co gay ppl . I still feel that theshit nasty but they cool	I've met cool gay people. I still feel that theshit is nasty, but they're cool though	I've come across some neat gay folks. I reckon the whole thing 'bout it is still nasty, but they're cool as can be.
Think ima have my 18th bday in Ohio. Then again It's gne cold as shit. All I knowis I want something big	I think that I'm going to have my 18th birthday in Ohio. Then again it's really cold. All I know that is I want something big.	I reckon I'm fixin' to have me eighteen birthday in Ohio. But dang, it gets mighty cold there. All I do know is that I'm hankerin' for somethin' big.
Ion really believe shit people say I just been lied to so many times It'slike Fuck dat.Trust no one	Ion really trusts what people say I've just been lied to so many times it'slike damn it, don't trust anyone	Ion reckon I can believe folks when they talk. I've jus' been told a whole lotta lies, it's like drat it, don't trust none.
At 2pm we will be giving away free tickets to the Graceful Hands Celebrity B-Ball Game atCass tech On June 29,2013.	At 2 PM, we are giving away free tickets to the Graceful Hands Celebrity B-Ball Game atCass Tech on June 29, 2013	At 2 in the afternoon, us be givin' out free passes for the Graceful Hands Famous People Double Ball Game. This here event goin' down at Cass Tech on the twenty-ninth of June in the year two thousand thirteen.
Visit all locations for tickets to the celebrity charity b-ball game atCass Tech 6/29/13 powered by	Visit all locations for tickets to the celebrity charity basketball game atCass Tech on June 29, 2013. Power b	Y'all gotta go to ever place for them tickets to that celeb charity ball game at Cass Tech on June 29, 2013. They call it a power bidness, but I reckon it's all about the heart!
Tyga & big Sean - I'm gone. The beat tuff I don'tlike the song to much.	Tyga and Big Sean, I love it. The beat is hard! I don'tlike the song too much	Tyga and Big Sean, I do declare. That there beat is somethin' fierce! But I ain't too fond of the song m'self.
lOl GA's Tornado Siren Sounds So Weak.! I'm Not 100% Positive That's What It Is...But WhatElse Could It Be? Smh	The alarm sounds mellow and I cant believe its an alarm. Could it be something else?	The alarm sound real soft an' I can't hardly believe it's an alarm. Could it be somethin' else?
AYE LISTEN GOT AH SPECIAL ON TATTOOS BRING 2 SPENDIN 25 GET YOU 1 FREE NOBULL HMU FOR MORE INFO!!!!!!!!!!!	Alright listen, I have a special on tattoos. Bring two and spend $25 and get one free. Nobullshit. Hit me up for more information	Listen here, now I got a real good deal goin' on for them tats. Brings you two and spends $25, an' you gets one free, no kiddin'. If y'all wants more info, hit me up.
Bought to kick my feet up and sip on a lil drinkydrink to ease my mind	I'm about to kick my feet up and sip on a little drinkydrink to ease my mind	I'm fixin' to put my feet up and take a sip or two of some relaxin' drink to calm down mah mind.
I can't lie when I worked for future care I wanted to work in housekeeping lmao... They swearthey had tha best job!!!	I can't lie, when I worked for future care I wanted to work in housekeeping. They swear they had the best job.	I ain't lyin', when I worked for that future care place, I wanted to be cleanin' in the housekeepin' department. They swears it was the finest job going.
Pls tell y'all friend her braids looked fuck'd up... Keep wanting to twist them bigshits up in a bun	Please tell your friend that her braids look fucked up. I keep wanting to twist those bigthings up into a bun	You tell your girlfriend them there braids of hers looks all messed up. I can't help but want to twist them big things up into some kind of bun.
I am in no way Tryna rush to grow up but 21 and up just got more options then20 and under do lol	I am in no way trying to rush myself to grow up, but ages 21 and up just have more options thanages 20 and under do, that's funny	I ain't in no hurry to grow up neither, but folks aged twenty-one an' above, they got more choices than us younguns aged twenty an' below. That's a hoot!
I need to try and work these too jobs out; well ifI get the other one	I need to figure out how to manage these two jobs. Well, ifI get the other one	I got to work on findin' a way to handle these here two jobs of mine. Now, if I can just get a hold of that other one...
I need to find those pink 11s; wtf was I thinkingnot going to get them	I need to find some Air Jordan Pink 11s. I don't know what I was thinkingnot getting them when I had the chance	I got to track down some Air Jordan Pink 11s. I can't believe I didn't get 'em when I had the opportunity.
Somewhere in the past week I forgot then entire plot of HarryPotter. Poof. It's all gone.	Sometime over the past week I forgot the entire plot of HarryPotter. Poof. It's all gone	Some time in the last week, I plum forgot the whole dang story 'bout Harry Potter. Pfft. It's all vanished away.
Saw one of those son of a guns in a yard on my way hometoday. Right near stole him.	I saw one of those son of a guns in a yard on my way hometoday. I right near stole him.	I seen one of them there varmints in a yard on my way home today. Near about got a hold of him.
I'd be a terrible kitty owner. I'm not home enough to keep it company...andsomeone else took it home.	I would be a terrible kitty owner. I am not home enough to keep it company, andsomeone else took it home.	I'd make a real poor cat mama. Ain't home much 'nough to keep it comany, an somebody else taken it home by now.
Man fuck dat hoe man my nigga n dem had dathoe n the Bryan Frazier	Man, fuck that hoe. Man, my brother and them had thathow, and then Bryan Frazier	Man, I hate that broad. Man, my brother and them had business with that broad, and then Bryan Frazier came along.
Think about wat my life could b that's when I pourup n light this weed	Think about what my life could be, that's when I poura drink and smoke this marijuana	When I ponder what my life might become, that's when I reach for a drink and light up this here marijuana.
I been listening to my SL bros all day...but not because they my homies theyjust better than you rappers	I've been listening to my SL brothers all day, but not because they're my friends. They're just better than you rappers.	I've been listenin' to my SL brethren all day long, but it ain't 'cause they're my pals. They're just more talented than you rapper folk.
we'll u should have came to the beat person for the job...... Me but I see udon't fuck wit me nomore	We'l you should've came to the best person for the job, which happens to be me but I understandyou don't deal with me anymore.	You oughta 'a came to the right person fer this here job, an' that's me, but I reckon you don't work with me no more.
My grandma told Eric he can spend da night knowing I was mad at his ass.......... Now I done slipped upn let him dtmf lbvvvvvvs	My grandma told Eric he can spend the night knowing I am mad at his ass. Now, I gone and slipped upand let him dump the motherfucker. Laughing, but very serious.	My granny told Eric he could sleep over knowin' I was mighty pissed off at him. But then I went and messed up, lettin' him leave me hangin'. I'm laughin', but believe me, I'm dead serious.
tell yo sister that you R a grown woman and U can make UR owndecisions... Thanks for her concern...	Tell your sister that you are a grown woman and you can make your owndecisions, thanks for her concern	Tell your sis that I'm a full-grown woman now, able to make my own choices. Appreciate her worryin'.
if U read both of the tweets... I changed it up forU because U R special...	If you read both of the tweets, I changed it up for you, because you're specia	If y'all read both them tweets, I switched it around for ya, 'cause you're somethin' special.
- Ii Must Say Shordy Was Ah Complete Waste Of Mhy Time Shid Um Doin Wonderful Without Ha &&'dMhy BD Pidd Fuk Relationships	I must say, the girl was a complete waste of my time. Shit, I'm doing wonderful without her andmy BD. Seriously, fuck relationships	I reckon, that gal was a total waste of my time. Damn, I'm doin' just fine without her and all that BS. Honestly, fuck them relationships.
Sometimes the shit you fuck with, is just not what mylife needs to fuck with.	When you try to start issues. I dont need to be involved.	When y'all go tryin' to stir up somethin'. I don't need to be a part of it.
The only logical reason to watch basketball is Kardashian-related men. is that likepretending to like Downton Abbey?	The only logical reason to watch basketball is because of men who date the Kardashians. Is that similar to pretending to like \"Downton Abbey?\	The only sensible reason I got for watchin' basketball was 'cause of them fellas datin' the Kardashians. Kinda like pretendin' to enjoy "Downton Abbey" or some such thing.
If dis rachet hoe dnt txt me bck>> ima walk to haa housend slap haa ugly ass!	rachel has been ignoring the texts. I am going to confront her. I will put her in her place	Rachel's been actin' like she don't see them texts. I'm fixin' to give her a piece of my mind. I'll show her who's boss.
Teacher Got in a fight with a student this morning?? Now she is unemployed. Lost her job with only a fewdays left of school smh.	A teacher got into a fight with a student this morning. Now she is unemployed. She lost her job with only a fewdays left of school. What a shame	This mornin', a teacha had a scrap with a pupil. Now she's outta work. She lost her job jus' before the last few days of school. That's a real pity.
This lady is suppose to sing The Negro National Anthem but she just whispers to me " Idon't know the words" huh?	This lady is supposed to sing \"The Negro National Anthem\" but she just whispers to me \"Idon't know the words\". Huh	That there woman's supposed to sing "The Black National Anthem" but instead, she just mumbles to me "I don't know the words" or some such thing. Ain't that something?
Its too early for the Drunk busted friday night club pics on IG right?Cause I just saw a.....	It's too early for the drunken friday night club pictures on instagram, right? Because I just saw a..	It's a mite too early for them drunken Friday night pictures at the club be poppin' up on Instagram, ain't it? Cause I jus' seen a...
As Salaam Alaikum how can we help our children in public school tostop being funneled into prison.	As Salaam Alaikum, how can we help our children in public school to stop being funneled into prison.	Peace be unto you, As Salaam Alaikum. How can we assist our younguns in them public schools to keep from gettin' steered towards the penitentiary.
you stop talking to me, & yes I Do. What you just made thatyou need a confirmation code?	You stop talking to me and yes, I do. What did you just do thatyou need a confirmation code for	You cut off our conversation and, yessir, I did. Whatever it was you done, you needed a confirmation code for it.
Hey world gonna do some family time today. And I will Sneek in some schoolflow photosI need for my assignment.	Hey, we are gonna go have some family time today. I will sneek in some schoolwork photosI need for my assignment	Hey y'all, we's fixin' to go spend some time with the famly today. I'm gonna try and slip in some pictures of the schoolwork I needs for that there assignment.
I was my bro's graduation DVR'd it Saw the 4th & OT when we went out to eat No sound on thetv My phone & were	I was at my brother's graduation. I DVR'd it and saw the fourth and OT when we went out to eat. There was no sound on theTV. My phone and were	I was at my brother's graduation. I recorded it on DVR and watched the fourth quarter and overtime when we went out to eat. The TV had no sound. My phone was ringing.
So i got in trouble for leaving work early!!! If i aint on thang is anotherwit mac and sac!!!!	So I got into trouble for leaving work early!!! If it ain't one thing it's another.With mac and Sac!!	Well, I got myself into somethin' for leavin' work early!!! But if it ain't one thing it's another. With Mac and Sac!!
Knowing that people in African were royal was a plus but didn't much for my own identity. Knowing that I'm ajoint heir w/ Jesus did.	Knowing that people in Africa were royal was a plus, but it didn't do much for my own identity. Knowing that, I'm a joint heir with Jesus.	Knowin' that folks in Africa were bein' royal made things better, but it didn't help much with my own self-image. Knowin' that, I'm a co-heir with Jesus.
Mailmen in the hood get chased by dogs and harassed whensocial security checks are late	Mailmen that are in the hood get chased by dogs and harassed whensocial security checks are late	In the 'hood, mailmen gets themselves chased by barkin' dogs and bothered when their social security checks runs late.
People stood in line all night just be the first customers at the new chickfila inHamptonCove. It's not that deep.	People were standing in line all night just to be the first customers at the new Chic-fil-a inHampton Cove, and it's not that deep.	Folks was standin' in line all night long just to be the first ones through the door at the brand new Chick-fil-A in Hampton Cove. Ain't nothin' too deep about it.
My mom is in Miami getting ready to go on a cruise while I'm in hsv in theclassroom on a damn Saturday	My mom is in Miami getting ready to go on a cruise while I'm in HSV in theclassroom on a damn Saturday	My mama's in Miami preparin' to set sail on a cruise, all while I'm stuck in HSV, sittin' in the classroom on a blasted Saturday.
Heat fans have NO room to talk about flopping unless you talking aboutthat bitch in the jersey	Heat fans have NO room to talk about flopping unless you are talking aboutthat bitch in the jersey	Folks from Heat fanbase ain't got no space to chirp 'bout fakin' unless y'all talkin' 'bout that hag in the jersey.
their spread offense is totally different. They are a pass first O. His blind side tackle isgone. Big shoes to fill	Their spread offense is totally different. They are going to pass first offense. His blind side tackle is gone, so there are big shoes to fill.	Their spread offense is real different. They's gon' pass first in that offense. His blind side tackle done left, so there's some big shoes to fill.
I just liked it for the documentaries but the same ones beenon there over a year.	I just liked it for the documentaries, but the same ones have beenon there for over a year	I jus' liked it for them docu-mentsaries, but the very same ones been settin' theres for over a year.
No puedo dejar de iñpresionarme, por la necia actitud de vender tu patria a imbesiles, que ni siquiera han sustentado lade ellos, no a cuba	SPANISHSPANIS	SpanishSpanish [I assume this is a typo in the original sentence and it was meant to be "The sentence is in Spanish" or something similar.]
Every Sat, these people on the block opposite mine have a BBQ - Cool.. If only their WACK sound system didn'tconstantly give me a headache	Every Saturday, these people on the block opposite of mine have a barbecue. Cool... If only their weird sound system didn'tconstantly give me a headache	Ev'ry Saturday, them folks across the street from me got themselves a barbecue goin' on. Ain't that neat? But dang it if their strange-soundin' stereo don't constantly give me one heck of a headache.
big bro i need yu &wade &ray allen &bosh & shane & mike Miller play hard on danny green& Parker &Duncan & Neal	Big brother, I need you, and Wade, and Ray Allen, and Bosh, and Shane, and Mike Miller. Play hard on Danny Green,and Parker, and Duncan, and Neal	Big bro, I needs ya, an' Wade, an' Ray Allen, an' Bosh, an' Shane, an' Mike Miller. Work 'em hard on Danny Green, an' Parker, an' Duncan, an' Neal.
U gotta love that old wine-o in the hood I gota 2month update in 5min	You have to love that old Wine-O in the neighborhood. I havea two-month update in five minutes.	Y'all got to appreciate that ol' Wine-Lover in our community. I got another two-month report comin' up in just five minutes.
Only God makes the rain fall and it's falling a lot in Queens, but I don't have to go out so let it rain, letit rain, let it rain!	Only God makes the rain fall, and it's falling a lot in Queens. But I don't have to go out, so let it rain, letit rain, let it rain	Ain't none but God what makes the rain come down, an' it's comin' down heap good in Queens. But I don't gotta go out, so let it pour, let it pour, let it pour.
I Seen It Wit My Own Eyes. Shit Was Real MyNicca Str8 Kilt Her !	I saw it with my own eyes. Shit was real myn-word. He killed her	I seen it with my very own peepers. That there was the real deal, lemme tell ya. He done went and took her life.
Ghetto translation~Lemme Call you back = You have a great rest of the day. Talkto you tomorrow lmao ijs	Inner city translation of \"Let me call you back\" is \"You have a great rest of the day. Talkto you tomorrow.\" I'm laughing my ass off, I'm just saying	Inner city talk 'bout "I'll call you back" is "You take care now an' have yourself a fine rest of this here day. We'll chat again tomorrow." I's just crackin' up, jest sayin'.
Somebody needs to invent an alarm clock that releases the smell of bacon. A nukkawould never be late lol	Genius invention would be an alarm clock that releases the smell of bacon in the morning. It would always wake people up.	That there's a real smart idea for an alarm clock. It'd give off the smell of bacons in the mornin'. Folks wouldn't have no trouble wakin' up with that goin' on.
If one more damn Mosquito bite me...... I know I'm Carmel and tasty looking, but I'm sure its some other fat ppl togo bite on wtf lol	If I get one more damn mosquito bite. I know I'm caramel colored and tasty looking, but I'm sure there is some other fat people togo bite on, what the fuck, I'm laughing	If I get me one more blamed mosquito bite. I reckon I'm a nice, caramel-colored hue and all, but I'm darn sure there's some other plump folks for those pesky mosquitoes to go bother instead, what in tarnation, I'm just laughin'.
You know when you wakeup wit so much energy it makeyou lazy. That's hella crazy	You know when you wake up with so much energy it makes you lazy. That's really crazy	Y'all know what I'm talkin' 'bout, right? When you wake up in the mornin' with so much pep in your step it makes you feel like doin' nothin'. That's plumb nuts.
Pretty women wit bad breath. That's that shyt I don't like. Plus itstoo hot for that mess	A pretty women with bad breath is something I don't like.It's to hot for me to deal with messes today	A real purty woman with some nasty-ass breath ain't nothin' I care for. It's just too blasted hot for me to be dealin' with messes today.
Somebody told me that coochi had pork in it. Is this true? And if so, does it come in vegetarian also?!I'm on a diet Lol	Someone told me that the coochi has pork in it. Is that true? And if so, does it come in vegetarian as well? I'm on a diet.	Somethin' somebody told me was that the coonchee got pork in it. Is that right? An' if it is, do they make a veggie version too? I'm tryin' to stick to my diet here.
If I was ur best friend, would you let me do all the things thatonly a best friend can?	If I was your best friend, would you let me do all the things that only a best friend can do?	If I was your closest buddy, would you allow me to do all the things that only a close buddy can do?
I have a head ache having been to sleep in 2days I'm going to sleep so good tonight hair appointmenttomorrow Or cut I'm scared.	I have a headache since I haven't been to sleep in two days. I'm going to sleep so good tonight. I have a hair appointmenttomorrow or a cut. I'm scared	I got a real bad headache goin' on 'cause I ain't had me no sleep the past two nights. But I reckon I'll be gettin' some good rest tonight. Tomorrow, I got me a hair appointment or maybe just gettin' a trim. I'm kinda scared about it though.
So I'm extra late I had no idea David Correy got a record deal. I loved him I was so mad hewas voted off so early.	So, I'm very late. I had no idea that David Correy got a record deal. I loved him. I was so mad that he was voted off so early.	Well, I'm runnin' real behind. I didn't know none 'bout David Correy gettin' a record deal. I sure did like him. I was plum mad when they went and voted him off so early.
U ask 4 my number..I tell u I have a bf..Ur response "SO, I like competition.".niggasain't got no respect lol	You ask for my number. I tell you, \"I have a boyfriend.\" Your response, \"So, I like competition.\" N-wordsdon't have any respect. That's funny	You ax me fer my number. I tell ya, "I got me a boyfriend." Your reply, "Well, I reckon I like me some competition." But n-words don't show no respect. That's right funny.
dont try this at home kids ...okay i will try itat my friends house then...	Don't try this at home kids... Okay, I will try itat my friend's house then..	Don't you all try this at home now, kiddos... Alrighty then, I'll give it a shot at my buddy's place instead.
Wassup tweed fam? I have been up since 12 yesterday .lolsmh Alwayz gm ! :0)	What's up Tweed family? I have been up since 12 yesterday, that's funny.Shaking my head, always good morning	Hey there Tweed clan! I've been wide awake since twelve o'clock yesterday mornin'. Can't believe it, just shake my head, it's always a good mornin'.
My shoe game is so weak right now. Need new work shoes, running shoes, sperry's/loafers and reg tennisshoes. Must step it up	My shoe collection is lacking right now. I need new work shoes, running shoes, Sperry's or loafers, and regular tennisshoes. I have to get it together	My shoe collection ain't got nothin' goin' on at the moment. I's in need of some new work shoes, runnin' shoes, Sperry's or loafers, and common tennis shoes. I reckon I gotta get my act together.
Dnt like ppl who smash or try to smash the homies. That's whack!Hands down! Male or female!	Don't, like, people who have sex or are trying to have sex, have sex with the friends? That's crazy!Hands down! Male or female	Don't some folks go 'head and do it, or tryna do it, with their pals when it comes to sex? That's plum nuts! No doubt about it, whether male or female.
R U TIRED OF HITIN THE BEAUTY SUPPLY AND COPPIN THAT BLACK NO.1! IS YOUR WIG BUSTED DISCUSTED FRYD DYED LEANIN2 DA SIDE HIT UP	Are you tired of hitting the beauty supplies and copying that black number one? Is your wig busted, disgusted, fried, dyed, and leaningto the side? Hit me up.	Ain't you sick and tired of headin' to the beauty shop and tryin' on that there black number one wig? Your old wig all busted, disgusted, fried, dyed, and leanin' to the side? Give me a holler.
Feeling really anxious can't wait I hope God hears my prays and they releasemy baby help me lord	I'm feeling really anxious. I can't wait. I hope God hears my prayers and they releasemy baby. Help me, Lord	I'm feelin' real nervous. I's just dyin' to know. I do hope the Good Lord hears my supplications and sets my little one free. Help me out, Big Fella.
For once can I meet a handsome respectful guy tht DOES NOT SAG HIS PANTS !!!!!???? Tht is trifling...at least notsoo low ! Ugh !	For once, can I meet a handsome, respectful guy with pants that do not sag? That is bad. At least don't have them sag so low. Ugh	Once in a while, I'd sure like to come across a good lookin', polite gent with trousers that don't droop? Lord, no. At least keep 'em from droppin' down so far. Yuck.
If we say two forms of ID why the fuck wouldyou come with just one...	If we say to bring two forms of ID with you, why wouldyou bring just one with you	If we tell ya to fetch two kinds of ID when you come, why in tarnation would ya bring just the one with ya?
I thought I was making progress but I guess I was wrong. Smhthis is really bothering me.	I assumed I was making headwind. I am worried.	I thought I was goin' against the wind. I'm mighty concerned now.
Dude comes to the mall with friends. It's raining. He gets his car to pick his friends up in front of the mall..It was only sprinkling lol	Dude comes to the mall with friends. it's raining. He gets his car to pick his friends up in front of the mall...It was only sprinkling, that's funny	That fella goes to the shoppin' center with his pals. It's rainin'. He gets his vehicle to pick his buddies up in front of the shoppin' center...It was just a little drizzle, that's kind of funny.
I'm prob the only motherfucka on this planet that doesn't like hot doughnuts... Hate whenthe hot sign is on	I’m probably the only motherfucker on the planet that doesn’t like hot doughnuts. I hate whenthe hot sign is on.	I reckon I'm the only son of a gun on this here planet what don't take a likin' to them hot doughnuts. I can't stand it when that hot sign lights up.
Getting ready to get jog on this morning! I need to get my health back in order. I've been a bad boy for a while soI have work to do.	I’m getting ready to jog this morning! I need to get my health back in order. I've been negligent for a while soI have work to do.	I's fixin' to go joggin' this mornin'. Gotta get myself back in shape. I's been neglectin' things for a spell, so I got some work to do.
And as a shopaholic... I'm taking strides to be better with money... And I'm cutting up my credit cards andremoving them from my PayPal	And as a shopaholic... I'm taking strides to be better with money... And I'm cutting up my credit cards, andremoving them from my PayPal	An' as a mebbe shoppin' just a little too much... I's tryin' real hard to do bettah with mah money... An' Ah's tearin' up mah credit cards an' pullin' 'em outta PayPal.
See Ah Opp Let The Thing Blow We Checking Ah BagWe Dont Need Hoes !	If you see an opportunity, let it happen. We're checking our bag.We don't need whores	If y'all see somethin' that looks like an opportunity, just let it go down. We's checkin' our sacks here. We don't need us some harlots.
Chilli cheese fries with jalapeños sounds soooooo good. Where can Iget something good like this?	Chili cheese fries with jalapeños sounds so good. Where can Iget something good like this	That there chili cheese fries with jalapeños sure does sound mighty fine. Now where in tarnation can a body find somethin' as good as that?
Dnt cum my way fa nth Dnt hit my line fa nth fony ass fuckniggas u niggas is nth	Do not come my way for nothing. Do not hit my line for nothing, phone ass fuckblack guys, you black guys are nothing.	Don't come around here for no good reason. Don't be callin' my phone line for no reason, you fuckin' black guys, you black guys is nothin'.
Damn why aren't any of my shows on demand yet! I don't want to wait towatch them until next week	Damn. Why aren't any of my favorite shows on On Demand yet? I don't want to wait towatch them until next week	Dang. What in tarnation is goin' on with none of my preferred shows poppin' up on Demand yet? I sho 'nuff don't wanna hafta twiddle my thumbs waitin' to watch 'em until the subsequent week.
I saw Dr. King's speech in its entirety yesterday for thefirst time, I'm still moved.	I saw Dr. King's speech in its entirety yesterday for thefirst time. I'm still moved	Yesterday, for the first time, I seen Dr. King's whole speech. I'm still feelin' all choked up about it.
A great day for the fathers. Add to the legacy. Or build a newone with your little ones	It's a great day for fathers. Add to the legacy, or build a newone with your little ones	Today's a fine day fer daddies. Pass on the tradition, or start a fresh one with your younguns.
Taking precautions. Not every deal is solid. And might bring on lessons that u wished uwere patient to learn first.	be careful as some deals with fall through. understand the deal and take time with it.	Be careful now, some deals might not go through. Make sure ya understand the deal and take your time with it.
I don't think it's hard to find love. I believe everybody are on different levels inlife. No need to rush	I don't think it's hard to find love.  I believe everyone is on a different level in life.  No need to rus	I reckon it ain't too tough findin' love. I figger everybody's at different stages in life, no need to rush.
I feel like stiles might become a beta to save his dad judging by thepreview for next Monday :D	I feel like Stiles might become a beta to save his dad, judging by thepreview for next Monday.	I reckon Stiles might turn into a beta, seein' how the sneak peek for next Monday's episode hints at that.
